i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test
326.0,4.280016857561748,4.380000000000001,1.0,0.0,True
327.0,4.188534348638981,3.3000000000000007,1.0,0.0,True
328.0,3.568584954705962,3.8599999999999994,1.0,0.0,True
329.0,5.529295723041479,5.68,1.0,0.0,True
330.0,5.785990103003704,5.130000000000001,1.0,0.0,True
331.0,4.572044994798431,4.710000000000001,1.0,0.0,True
332.0,0.3836362545372721,0.4399999999999995,1.0,0.0,True
333.0,3.868023182880563,3.91,1.0,0.0,True
334.0,0.9992742536198236,1.9100000000000001,1.0,0.0,True
335.0,5.047547312088071,5.470000000000001,1.0,0.0,True
336.0,1.4597359321303855,1.5899999999999999,1.0,0.0,True
337.0,6.69404253251605,6.469999999999999,1.0,0.0,True
338.0,4.220531065946773,4.26,1.0,0.0,True
339.0,4.075191159401071,3.8000000000000007,1.0,0.0,True
340.0,4.9369931349340845,4.41,1.0,0.0,True
341.0,5.95592001375438,6.27,1.0,0.0,True
342.0,1.5124560139771932,1.5399999999999991,1.0,0.0,True
343.0,6.7895260248786675,6.5,1.0,0.0,True
344.0,4.22397174961548,4.380000000000001,1.0,0.0,True
345.0,2.7048104134540125,2.58,1.0,0.0,True
346.0,4.039701612385819,3.8200000000000003,1.0,0.0,True
347.0,4.399305939959,4.0600000000000005,1.0,0.0,True
348.0,2.965215414233832,0.9800000000000004,1.0,0.0,True
349.0,3.9268318953540065,3.74,1.0,0.0,True
350.0,5.109946095595888,5.029999999999999,1.0,0.0,True
351.0,3.763493758100005,3.3599999999999994,1.0,0.0,True
352.0,-0.021956376882720008,-0.08000000000000007,0.196,0.196,False
353.0,4.521060576664084,4.32,1.0,0.0,True
354.0,4.665870901691875,2.3200000000000003,1.0,0.0,True
355.0,3.933701935541727,6.440000000000001,1.0,0.0,True
356.0,4.850153957769912,5.43,1.0,0.0,True
357.0,4.883727829954992,4.0600000000000005,1.0,0.0,True
358.0,0.19780608103413755,0.40000000000000036,0.886,0.11399999999999999,False
359.0,3.3396663595033047,4.029999999999999,1.0,0.0,True
360.0,0.2276407551701496,0.8000000000000007,1.0,0.0,True
361.0,3.865289157173457,3.4800000000000004,1.0,0.0,True
362.0,2.9131986404707604,3.42,1.0,0.0,True
363.0,-0.09902248153832716,0.08000000000000007,0.8,0.19999999999999996,False
364.0,5.338257718025929,5.52,1.0,0.0,True
365.0,4.5634963685027055,4.57,1.0,0.0,True
366.0,1.832363468792629,2.34,1.0,0.0,True
367.0,6.687476485522161,4.699999999999999,1.0,0.0,True
368.0,7.871494311450861,7.219999999999999,1.0,0.0,True
369.0,2.268234943582243,2.4499999999999993,1.0,0.0,True
370.0,3.1019720187874142,3.2799999999999994,1.0,0.0,True
371.0,6.911580019564319,6.84,1.0,0.0,True
372.0,4.866079673884137,5.449999999999999,1.0,0.0,True
373.0,0.9659190816316894,1.25,1.0,0.0,True
374.0,4.591406438028493,4.0,1.0,0.0,True
375.0,5.022485520519922,4.619999999999999,1.0,0.0,True
376.0,2.3263811106822203,2.7200000000000006,1.0,0.0,True
377.0,2.2761804842246534,2.42,1.0,0.0,True
378.0,7.516636116895455,7.600000000000001,1.0,0.0,True
379.0,3.7299325521641786,3.1899999999999995,1.0,0.0,True
380.0,6.364958275728121,5.98,1.0,0.0,True
381.0,5.234530280602818,5.08,1.0,0.0,True
382.0,-0.2833405799645803,-0.05000000000000071,0.42,0.42,False
383.0,1.2651939053093173,1.0899999999999999,1.0,0.0,True
384.0,1.6819846554973594,2.3900000000000006,0.994,0.006000000000000005,True
385.0,-0.15020215126244807,0.13000000000000078,0.846,0.15400000000000003,False
386.0,5.060921649485144,5.109999999999999,1.0,0.0,True
387.0,3.3789421932863206,3.369999999999999,1.0,0.0,True
388.0,0.6595367318402836,0.3200000000000003,0.992,0.008000000000000007,True
389.0,4.368440865660013,5.08,1.0,0.0,True
390.0,1.062663276083704,0.9900000000000002,1.0,0.0,True
391.0,4.529147579439844,4.15,1.0,0.0,True
392.0,7.781819827556752,5.859999999999999,1.0,0.0,True
393.0,-0.07157671535308907,0.009999999999999787,0.552,0.44799999999999995,False
394.0,3.6207691970231934,4.75,1.0,0.0,True
395.0,5.5648886089104295,6.440000000000001,1.0,0.0,True
